,Address,Suburb,bedrooms,bathrooms,carspaces,landAreaSqm,buildingAreaSqm,propertyTypes,priceDetails,InspectionOpenTime,InspectionCloseTime,headline,saleMethod,AuctionLocation,AuctionOpenTime,school_1,school_distance_1,school_2,school_distance_2,school_3,school_distance_3,features,description,seoUrl
36,"1a Rumsey Crescent, Dundas NSW 2117",Dundas,5.0,2.0,2.0,372.0,,['duplex'],"$1,100,000 to $1,150,000",2018-10-20  11:00,2018-10-20  11:30,As New Brick Torrens Title Duplex Home With Double Full Brick Partition Walls,privateTreaty,,, Telopea Public School, 0.6 km, Cumberland High School, 1.7 km, Macarthur Girls High School, 3.8 km,"['Air Conditioning', ' Ensuite', ' Alarm System', ' Balcony / Deck', ' Built in wardrobes', ' Garden / Courtyard', ' Dishwasher', ' Fully fenced', ' Rainwater storage tank']","Peacefully positioned in quiet yet convenient Rumsey Crescent, this flawless brick home on approx. 372 sqm. Showcases a stunning spacious Master bedroom with esuite/ balcony and offers both indoor/outdoor living areas and an excellent kitchen. Spacious interiors feature a blend of the contemporary, with the rear of the home flowing to an integrated entertainment area with outdoor landscape plus paved area.  Placed for easy access to newly completed water features park, Eastwood and Parramatta CBD, the home is also within moments of parks, transport, local shops/cafes and schools. 

FEATURES:

* Total 5 spacious bedrooms with large windows and built-ins , including a Master bedroom with ensuite and an extra bedroom on ground floor, ideally for in-law accommodation  and three other bedroom . Plus a big store room under and next to the staircase as a bonus.
*Two large undercover private balconies at upstairs overlooking magnificent district views.  
* Large high ceiling open living and dining area, all with big modern floor tiles. 
* From floor to ceiling glass sliding doors at the back and large aluminium windows with timber plantation double shutters around all the living area, all with flood in sun light.
* Modern high-class open kitchen with gas cooking, stainless steel appliances, dishwasher, ducted range-hood and plenty cupboards
* Large modern main bathroom with toilet and separate shower
* Under cover outdoor patio with timber deck terrace, perfect for outdoor dining and entertaining area or BBQ party. 
* With easy care good size level garden.
* internal laundry with additional guest W/C 
* Ducted A/C.
* Double full brick partition wall with next door, good for sound insulation. 
* Alarm system and intercom system 
* Landscaped backyard 
*3 toilets, including one guess toilet at downstairs.
* Total land area approx 371.9 sqm
* Perfect for growing families.

COME AND INSPECT TODAY OR YOU WILL REGRET!!
CONTACT Ricky Ho ON 0411 445 503 TO ARRANGE AN INSPECTION TODAY

Disclaimer: The information presented has been furnished from sources we deem to be reliable. We have not verified whether or not the information is accurate and do not accept any responsibility to any person and do no more than pass it on. All interested parties should rely on their own enquiries in order to determine the accuracy of this information.",https://www.domain.com.au/1a-rumsey-crescent-dundas-nsw-2117-2014696350
37,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
38,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
39,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
40,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
41,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
42,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
43,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
44,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
45,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
46,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
47,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
48,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
49,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
50,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
51,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
52,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
53,"68 Old Castle Hill  Road, Castle Hill NSW 2154",Castle Hill,4.0,2.0,3.0,1029.0,,['house'],Just Listed,2018-10-20  11:00,2018-10-20  11:30,Huge potential and a stroll to Castle Towers ,privateTreaty,,, Castle Hill Public School, 0.6 km, Castle Hill High School, 1 km, St Bernadette's Primary School, 0.8 km,"['Air Conditioning', ' Close to Schools', ' Close to Shops', ' Ensuite', ' Pool', ' Open Fire Place']","Privately set back from the road, this centrally located home offers immense potential on a large 1,025sqm parcel. Buyers looking to add value will enjoy modernising this dual-level home which features high ceilings and timeless timber floorboards. It has an updated kitchen with stainless steel appliances set between a dining room and huge family room. Wrapped in windows, the family room gazes over bushland and the in-ground pool below. 

A stately open fireplace in the formal lounge room reflects the home's heritage. Glass sliding doors connect to a covered terrace, providing extra floor space for entertaining. On the lower level there is a games room with its own entry and a toilet, presenting versatility for use as a potential office space. Located a walk to Castle Towers and the train station due for completion in 2019, it is moments to local schools.  

•	Study with district views 
•	Master bedroom with walk-in wardrobe and ensuite
•	Underhouse workshop and storage 
•	In-ground pool and established gardens 
•	Short walk or bike ride to Castle Hill Public and High Schools 


We have obtained all information in this document from sources we believe to be reliable; however, we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations.",https://www.domain.com.au/68-old-castle-hill-road-castle-hill-nsw-2154-2014714443
54,"10 Philip Place, Carlingford NSW 2118",Carlingford,4.0,2.0,3.0,942.2,,['house'],Auction,2018-10-20  11:00,2018-10-20  11:30,Where few properties become available for sale - Tightly held location,auction,Onsite,2018-11-03  11:00, Murray Farm Public School, 0.3 km, Muirfield High School, 1.7 km, St Gerard's Primary School, 1.6 km,,"Unique block which will easily cater for a Granny Flat (STCA)

A home for all seasons is finally available for sale!  It's time for the growing family to live in and enjoy the comforts and space of this oversized family home which has been meticulously maintained throughout. Simply irresistible!!!  Enter to explore the generous proportions of free flowing space, large rooms, quality kitchen, bathrooms and irresistible outdoor area which caters for all seasons. The home is surrounded by sunshine, large gardens and super-sized garaging, workshop and man cave area. 

The home offers 4/5 bedrooms, study plus media room, polished floor boards throughout and ducted air conditioning.  Situated in a most convenient and distinguished location on a wide 942.2mÂ² block of land, just a 2 minute walk to Murray Farm School and within its catchment. 

This home is designed to nurture a healthy family environment where parents and children can share equally in the entertaining of relatives and friends.  A home of difference, a property you will be proud to invest in.  
",https://www.domain.com.au/10-philip-place-carlingford-nsw-2118-2014695530
55,,,,,,,,,,2018-10-25  14:00,2018-10-25  14:30,,,,,,,,,,,,,
56,,,,,,,,,,2018-10-27  11:00,2018-10-27  11:30,,,,,,,,,,,,,
57,,,,,,,,,,2018-11-01  14:00,2018-11-01  14:30,,,,,,,,,,,,,
58,,,,,,,,,,2018-11-03  10:30,2018-11-03  11:00,,,,,,,,,,,,,
59,"2 Yvette Street, Baulkham Hills NSW 2153",Baulkham Hills,5.0,3.0,3.0,,,['house'],Most Convenient Location in Baulkham Hills,2018-10-20  11:00,2018-10-20  11:30,Picturesque Family Home with DA Approved Secondary Dwelling,auction,On Site,2018-10-27  14:30, Baulkham Hills North Public School, 1.3 km, Muirfield High School, 2.4 km, Our Lady Of Lourdes Primary School, 0.4 km,"['Air Conditioning', 'Built-In Wardrobes', 'Close to Schools', 'Close to Shops', 'Close to Transport', 'Garden', 'Secure Parking', 'Polished Timber Floor', 'Formal Lounge', 'Separate Dining']","Offering a spacious, sun-filled layout, this picturesque home is perfectly suited for growing families or investors. With dual income potential, this property features a large four-bedroom home in addition to a DA approved secondary dwelling with bedroom, modern kitchenette and bathroom. This charming residence is surrounded by neatly manicured garden beds, a large backyard and spacious undercover entertaining area, offering the perfect place to entertain family and friends. From this enviable location, you will enjoy ease of access to Stockland Mall, express City buses, local schools, parks and cafes!

House features include:
·         Undercover front porch
·         Sun-drenched formal lounge with bi-fold doors flowing out to outdoor entertaining area
·         Centrally located kitchen equipped with gas cooking, stainless steel appliances, ample storage and breakfast bar
·         Spacious dining area
·         Four bedrooms with built-in robes to all and a ensuite to the master featuring separate bath and shower
·         Modern family bathroom with separate toilet
·         Laundry with both internal and external access
·         Spacious attic/storage area
·         Ducted air conditioning and ceiling fans
·         Polished timber floorboards throughout
·         Large undercover, outdoor entertaining area with ceiling fan and downlights
·         Spacious backyard with neatly manicured garden beds
·         Single car lock-up garage with workshop/storage area and ample driveway parking

Studio features:
·         DA Approved secondary dwelling
·         Separate side access
·         One bedroom with built-in robe
·         Modern kitchenette/laundry
·         Bathroom with floor to ceiling tiles
·         Low maintenance timber flooring throughout 
·         Outdoor patio and spacious yard area",https://www.domain.com.au/2-yvette-street-baulkham-hills-nsw-2153-2014681729
60,,,,,,,,,,2018-10-21  12:45,2018-10-21  13:15,,,,,,,,,,,,,
61,"24 Captain Strom Place, Carlingford NSW 2118",Carlingford,4.0,2.0,1.0,,,['house'],Auction (if not sold prior),2018-10-20  11:00,2018-10-20  11:30,Renovated Home With Duplex Potential,auction,On Site,2018-11-10  15:00, Cumberland High School, 0.9 km, Telopea Public School, 1 km, Macarthur Girls High School, 4.3 km,"['Air Conditioning', 'Built-In Wardrobes', 'Security Alarm', 'Garden', 'Polished Timber Floor']","Perched on an elevated 645sqm allotment in a quiet cul-de-sac location, this tastefully renovated home offers modern family living while holding valuable duplex potential. Showcasing a stylish contemporary transformation throughout, this address presents seamless flow from its impeccable interiors to the entertaining exteriors. With a lifestyle suitable for young families, developers or the savvy investor, we welcome you to make it yours today.

• Elevated 645sqm of duplex potential land (STCA)
• Renovated North-East entertaining family home
• Perfect for young families, developers or investors
• Gourmet gas Caesarstone kitchen with island bench
• Large covered rear deck overlooking grassy yard",https://www.domain.com.au/24-captain-strom-place-carlingford-nsw-2118-2014711297
62,,,,,,,,,,2018-11-03  11:00,2018-11-03  11:30,,,,,,,,,,,,,
63,,,,,,,,,,2018-11-10  14:30,2018-11-10  15:00,,,,,,,,,,,,,
64,"26 Government Farm Crescent, Castle Hill NSW 2154",Castle Hill,4.0,2.0,2.0,454.0,,['house'],Just Listed,2018-10-20  11:00,2018-10-20  11:30,"Light, Bright & Spacious - Exclusive Heritage Park Estate",privateTreaty,,, Castle Hill Public School, 1.1 km, Castle Hill High School, 1.4 km, Oakhill College, 0.7 km,"['Air Conditioning', ' Heating', ' Alarm System', ' Built in wardrobes']","The breath-taking frontage arches over a large porthole window that gazes over up the serene bushland sanctuary. Backing onto the historic and revamped Heritage Park with 20 acres of playground, rolling landscape, picnic areas and walking tracks. Walk or bus to Castle Hill Public School and Castle Hill High. Around the corner from the city express bus stop or stroll to cosmopolitan Castle Towers and forthcoming Castle Hill Train Station. The private back garden basks in glorious northern aspect, paving the way for endless family enjoyment in the sunshine.
 
- You are greeted by the grand entry foyer with double height ceilings and stunning staircase 
- Four upstairs carpeted bedrooms with built in robes to all and the master bedroom boasting plantation shutters, fully shelved walk-in robe and elegant ensuite with his and hers vanity 
- Upstairs bathroom services bedrooms with double vanity, glass shower and sparkling bath tub.
- Convenient powder room and formal lounge on grand entry level that leads gracefully into the sprawling living areas.
- Central timber kitchen with walk-in pantry, granite bench top, stainless steel gas appliances, including new Westinghouse dishwasher, Delonghi cooktop and Ilve oven.
- Formal dining area flows to open plan living room looking through sliding glass doors to beckoning backyard.
- Spectacular views of the stunning bushlands from the upper level, complete with the perfect family retreat for the kids to enjoy
- Step out to fully tiled vergola perfect for all seasons, showcasing a adjustable louvre roof, built-in gas BBQ, recessed lights, slate stacked-stone outdoor kitchen with granite bench-top and bar-fridge, an absolute paradise for entertaining family and friends, day and night.
- Watch the kids delight in the no-maintenance synthetic lawn area, framed by a wonder wall of sand stones and manicured hedging, promising complete privacy and sunshine all year round.
- Spacious laundry with built in shelving. Side yard features concealed water tank and retractable clothes line for an unspoiled play area. 
- Other lifestyle features include double automatic garage, tri-zone ducted air conditioning, alarm system, internal and external gas points, frame moulding and cluster spotlights throughout. 
 
Move straight in and enjoy prestigious privacy with Heritage Park as an extension of your own back garden, promising a comfortable family life.",https://www.domain.com.au/26-government-farm-crescent-castle-hill-nsw-2154-2014685938
65,"39 Kings  Road, Castle Hill NSW 2154",Castle Hill,5.0,2.0,2.0,750.0,,['house'],Auction,2018-10-20  11:00,2018-10-20  11:30,"EXCEPTIONALLY MAINTAINED IDEALLY LOCATED
",auction,On Site,2018-11-10  10:45, Sherwood Ridge Public School, 1.5 km, Castle Hill High School, 2 km, Gilroy College, 0.8 km,"['Air Conditioning', ' Built-In Wardrobes', ' Close to Schools', ' Close to Shops', ' Close to Transport', ' Ensuite']","Privacy assured, this impeccably presented family home demonstrates space and functionality within its vast and well executed floor plan.  Share hearty meals together around the brand-new kitchen incorporating seamless flow and relaxed ambiance leading to the sizeable outdoor alfresco, which overlooks low maintenance garden surrounds, plenty of room for a pool. Superb educational choices include Samuel Gilbert Public School, Castle Hill High School and William Clarke College are less than 8 minutes away, with city transport and the new rail system commencing early 2019. 

- Tranquil and spacious Master retreat overlooking leafy alfresco
- Sizeable securely gated side access for boat, trailer or weekend toys
- North easterly vistas capture delightful cross breezes during Summer
- Numerous entertaining spaces, chic multi-functional family bathroom
- Premium carpets, LED downlights, new 63mm slat blinds, Foxtel, gas bayonets
- Split system air and ceiling fans, automatic garden watering system
- Stone benchtop, stainless 5 burner cooktop, ample island seating",https://www.domain.com.au/39-kings-road-castle-hill-nsw-2154-2014715005
66,"26 Mulheron Avenue, Baulkham Hills NSW 2153",Baulkham Hills,5.0,3.0,4.0,,,['house'],"Price Guide $1,100,000-$1,200,000",2018-10-20  11:30,2018-10-20  12:00,Large Family Home in Matthew Pearce Catchment,privateTreaty,,, Model Farms High School, 0.9 km, Matthew Pearce Public School, 1 km, St Paul The Apostle Primary School, 1.6 km,"['Air Conditioning', 'Built-In Wardrobes', 'Close to Schools', 'Close to Shops', 'Close to Transport', 'Garden', 'Secure Parking', 'Polished Timber Floor', 'Formal Lounge', 'Separate Dining', 'Terrace-Balcony']","Positioned in the enviable Matthew Pearce school catchment, you will enjoy ease of access to local schools, shops, City bus transport, parks and much more! With a sun-drenched, open-plan layout, this double storey home is perfectly suited for the growing family. With multiple living, dining and entertaining areas throughout, complimented by a spacious backyard with undercover entertaining area, there is plenty of space for the whole family to enjoy. 

Additional features include: 
• Front foyer entrance
• Spacious rumpus with separate living area flowing out to the outdoor entertaining area
• Additional, open-plan living and dining area 
• Paved balcony overlooking the backyard and front balcony overlooking the front yard
• Large, sun-drenched kitchen equipped with electric cook top and ample storage 
• Five generous sized bedrooms with built-in robes to three and balcony access to the fifth
• Three family bathrooms
• Spacious internal laundry
• Ducted and split system air-conditioning 
• Secluded backyard with large, paved seating area and undercover spa 
• Double car lock-up garage with double carport",https://www.domain.com.au/26-mulheron-avenue-baulkham-hills-nsw-2153-2014656047
67,"17 Stewart Drive, Castle Hill NSW 2154",Castle Hill,4.0,2.0,2.0,,,['house'],Auction this Saturday at 12pm - MUST BE SOLD,2018-10-20  11:30,2018-10-20  12:00,Auction Must be SOLD!,auction,On-Site,2018-10-20  12:00, Baulkham Hills North Public School, 1.4 km, Muirfield High School, 3.1 km, Hills Adventist College, 0.5 km,,"Karl Anthony from Ray White Castle Hill proudly presents 17 Stewart Drive, Castle Hill for genuine public auction at 12pm, 20 October, 2018. 

Situated on the high side of a quiet street in the heart of Castle Hill, this immaculate four bedroom, fully renovated family home, eagerly awaits its new occupants.  With open plan living and dining spaces, the home is perfect for the growing family that loves to entertain. Featuring a contemporary kitchen with 40mm Caesarstone stone benchtops, stainless steel appliances, polished timber floorboards, stunning electric fireplace and gorgeous bi-fold doors that lead to the large outdoor entertaining area and fully landscaped rear yard. All this plus DA plans that are approved for a two bedroom granny flat!

Superbly located, this turn-key' property is just minutes to Castle Towers shopping precinct, reputable primary and high schools, city buses and the imminent Sydney Metro Northwest Train Station.

Features include:
* 4 bedrooms with built in robes
* Master with ensuite
* Luxurious main bathroom with stand-alone bath
* 40mm Caesarstone stone benchtop
* 708m2 block

The vendor is highly motivated and we are under strict instructions that this property MUST BE SOLD. Don't wait for this opportunity to pass by, call Karl Anthony 0457 120 174.",https://www.domain.com.au/17-stewart-drive-castle-hill-nsw-2154-2014668542
68,"36 Brooklyn Crescent, Carlingford NSW 2118",Carlingford,4.0,2.0,2.0,,,['house'],"$1,230,000  - $1,270,000",2018-10-20  11:30,2018-10-20  12:00,Sophisticated modern home for carefree living,privateTreaty,,, Carlingford Public School, 0.6 km, Marsden High School, 2.1 km, Carlingford High School, 2.3 km,,"Nestled in the tightly held multiple awards winning 'Madison Gardens' estate built by Mirvac, this beautiful modern freestanding home showcases timeless formal and informal living spaces. It promotes the ultimate lifestyle with access to an exclusive luxury Manhattan Club and resort style pool, all just a stroll to shops and buses. 


- Family room and casual dining space adjoining the kitchen

- Elegant formal living and dining rooms for entertaining

- Living areas blend to a private landscaped garden courtyard

- Open granite kitchen features stainless Smeg gas appliances

- Tranquil upper level bedrooms, three with built-in wardrobes

- Generous master bedroom with an ensuite and its own balcony

- Fully tiled bathroom with granite vanity and a corner bath

- Immaculate interiors with a guest w/c and air conditioning

- Remote garage with internal entry, superb pool and clubhouse

- Minutes to Carlingford Public School and Carlingford Court



Maintenance levies $705pq
",https://www.domain.com.au/36-brooklyn-crescent-carlingford-nsw-2118-2014326557
69,"13 Norfolk Place, Carlingford NSW 2118",Carlingford,4.0,2.0,2.0,866.0,,['house'],"Auction, price  guide $1,300,000",2018-10-20  11:30,2018-10-20  12:00,Single level family home in prized Kingsdene Estate,auction,,2018-10-27  12:00, Carlingford West Public School, 0.7 km, Cumberland High School, 1.1 km, Christ The King Primary School, 0.6 km,,"Set in the sought-after Kingsdene Estate, this beautifully loved single level home makes an ideal family retreat, embracing lovely garden surrounds. In the catchment for Carlingford West Public School and close to other prestige schools, parks, shops and transport.


- Formal lounge/dining room plus casual open plan living area

- Light filled interiors extend to the tranquil alfresco spaces

- Veranda and sun drenched deck ideal for outdoor entertaining

- Well appointed timber kitchen with plenty of cupboard space

- Low maintenance yard with established wraparound gardens

- Four double bedrooms plus two renovated modern bathrooms

- Timber flooring, ducted air conditioning and ceiling fans

- Double lock-up garage plus workshop area and storage space

- Additional underhouse storage space plus an internal laundry

- Close to James Ruse Selective, Tara Girls and The King's School
",https://www.domain.com.au/13-norfolk-place-carlingford-nsw-2118-2014670663
70,,,,,,,,,,2018-10-27  11:30,2018-10-27  12:00,,,,,,,,,,,,,
71,"1 Balintore Drive, Castle Hill NSW 2154",Castle Hill,4.0,2.0,2.0,,,['house'],"$1,090,000 - $1,140,000",2018-10-20  11:00,2018-10-20  11:30,Immaculate Duplex | Sought After Locale,privateTreaty,,, Castle Hill High School, 1.4 km, Samuel Gilbert Public School, 1.5 km, Lorien Novalis School, 1.6 km,,"Enviably positioned in the highly sought after Balintore Drive Estate is this immaculately presented four-bedroom duplex that is not only perfect inside, but also out. Located in a peaceful and friendly neighbourhood, with plenty of natural light throughout and an impressive alfresco area, this property is not to be missed.  
 
Featuring:
 
- Master bedroom with built-in robe & ensuite
- Three other spacious bedrooms all designed with built-in robes
- Undercover outdoor alfresco area perfect for entertaining with family & friends
- U-shaped kitchen overlooking the backyard with gas cooktop and ample storage
- Spacious meals area conveniently located off the kitchen 
- Sun-filled downstairs living area/family room
- Rear flat yard with plenty of grass for the kids to enjoy 
- Split system air conditioning 
- Double automatic garage with internal access

Zoned for Samuel Gilbert Public School and Castle Hill High School, plus within walking distance to Castle Hill Heritage Park, local and city express bus services and minutes to Castle Towers, you will enjoy the convenience this location has to offer. For more information, contact Joel Mather on 0425 691 114. #teamsciberras",https://www.domain.com.au/1-balintore-drive-castle-hill-nsw-2154-2014573955
72,,,,,,,,,,2018-10-21  10:30,2018-10-21  11:00,,,,,,,,,,,,,
73,"9 Boulton Avenue, Baulkham Hills NSW 2153",Baulkham Hills,4.0,2.0,2.0,720.0,240.0,['house'],Contact for Price,2018-10-20  11:00,2018-10-20  13:00,"9 Boulton Avenue, Baulkham Hills NSW 2053",auction,,2018-11-17  11:00, Excelsior Public School, 0.9 km, Model Farms High School, 3 km, St Michael's Primary School, 0.5 km,"['Deck', ' Outdoor Entertainment Area', ' Remote Control Garage', ' Fully Fenced', ' Dishwasher', ' Rumpus Room', ' Floor Boards', ' Built In Robes', ' A/C', ' Reverse Cycle Air Conditioning', ' Split System Air Conditioning', ' Ducted Heating', ' Ducted Cooling']","Phone enquiry code for this property: 8691

Welcome to the elegantly newly renovated single-level 4 Bedroom home nestled atop the highest level of a quiet street at the heart of Baulkham Hills, where you'll be sitting amongst the birds whilst enjoying refreshing district views. 
			
Perfectly located in a sought after area that is central to schools, Stockland Shopping Centre, Norwest Business Park, it is also a short driving distance to Parramatta CBD, not to mention being next door to The Hills Private Hospital. 
				
The house is bathed with natural sunlight complimented by a secure and private fully grassed backyard setting. It features 4 generous-sized bedrooms, all with built-in wardrobes.  The house has 2 x brand new bathrooms, the Main one fitted with a Spa Bath. The Master has its own modern Ensuite and a Walk-in-Robe, providing utmost privacy. 
			
The exceptional open floor plan provides a variety of living areas with a seamless transition from the indoors to the Alfresco Patio and BBQ deck. Step outside to a certainty of grassed space large enough to entertain family and friends with ample backyard for kids and pets to play on plus plenty more for proper gardening. 
				
Inside, you will be pleasantly surprised with the effortless modern chic French styling of neutral colours, sophisticated interiors and quality finishes. The house comes with a brand new easy-to-maintain high gloss polyurethane Kitchen and Caesarstone benchtop, that is equipped with all brand new ""state-of-the-art"" Kitchen appliances that are as follows: matching brand new glass Smeg Oven and Microwave, stainless steel Ilve electric and gas Cooktop, a Blanco semi-integrated Dishwasher and a glass Canopy Rangehood. 
			
Other features include freshly painted Interiors (entirety), new Timber floors, new ducted reverse cycle air conditioning for 2 zones, all-new Lighting fixtures and electrical fittings, 2 -car garage with remote controls and additional car space on the driveway. Apart from the Family Room, there is a massive Rumpus Room that can potentially be converted into a Home Office or an Air BnB type of accommodation.						
						
This fully renovated 4 bedroom plus Rumpus home is a must see!  This property will be sold at or prior to Auction!  Don't miss out - call now!						
						
Location wise:						
2mins drive to Baulkham Hills High School (1.2Kms), 						
6mins drive to Stockland Shopping Centre (2.5Kms), 						
9mins drive to Castle Towers Shopping Centre (3.8Kms), 						
10mins drive to Model Farm High School (5.7Kms)						
10mins drive to Norwest Marketown/Norwest Business Park (4.8Kms)						
20mins drive to Parramatta CBD (9.2Kms)	

																								
AUCTION on the 17th of November 2018 11:00 am unless sold prior.

Phone enquiry code for this property: 8691



",https://www.domain.com.au/9-boulton-avenue-baulkham-hills-nsw-2153-2014717266
74,,,,,,,,,,2018-10-21  11:00,2018-10-21  13:00,,,,,,,,,,,,,
75,"7 Madison Avenue, Carlingford NSW 2118",Carlingford,4.0,2.0,2.0,,,['house'],"$1,250,000-$1,300,000",2018-10-20  11:00,2018-10-20  11:30,A Stunning Statement in Style. Free Standing torrens title home,privateTreaty,,, Carlingford Public School, 0.7 km, Marsden High School, 2.1 km, Carlingford High School, 2.4 km,,"Presenting quality, broad appeal and undeniable versatility this impressive finely finished home represents the ultimate opportunity to acquire finest home standing in high position overlooking resort style facilities including swimming pool, spa, BBQ areas, club house, Heritage Walk and immense greenery throughout in 1km walking distance to Carlingford Public School, shops, parks and buses. 
- Spacious Lounge with tiled floor throughout and carpet to bedrooms
- Modern kitchen with stone bench top and gas stove
- Main bedroom with ensuite and balcony
- Sunny, bright family room flowing out to paved entertainment area in the backyard
- Beautiful quality bathroom with tiles to ceiling
- Double lock up garage 
- Land 281.7sqm
- Community fee $755.32 p/q
",https://www.domain.com.au/7-madison-avenue-carlingford-nsw-2118-2013878448
76,"9 George Mobbs Drive, Castle Hill NSW 2154",Castle Hill,4.0,2.0,2.0,696.0,,['house'],Contact Agent,2018-10-20  11:00,2018-10-20  11:30,Ideal family-friendly setting ,privateTreaty,,, Baulkham Hills North Public School, 0.3 km, Muirfield High School, 2.7 km, Hills Adventist College, 1.6 km,,"Nestled in a beautifully tree-lined street, this tranquil home boasts a family-focused location on 696sqm. Light-filled interiors maximise the northern aspect, soaking the layout in sunshine. The updated open plan kitchen has granite benches, a central island bench with casual seating and a lovely leafy outlook. It leads to a formal dining area and expansive lounge room, providing flexibility for gatherings. 

An ensuite and walk-in wardrobe come with the master bedroom which flows on to the verandah. Twin basins feature in the family bathroom and there is the convenience of a separate toilet. This home's elevated position and cleverly-designed front terrace offers a secluded alfresco entertaining space hidden from the street. It is a short walk to Baulkham Hills North Public School, TAFE and childcare, while Castle Towers and Stockland Baulkham Hills are minutes away.

•	Polished timber floorboards and extra-height ceilings throughout 
•	Built in wardrobes to the additional three bedrooms
•	Close to Baulkham Hills High School, Gilroy College and Oakhill College 
•	Buses stop at the top of the street 
•	Stroll to walking tracks, playground and playing fields at Eric Mobbs Reserve 

We have obtained all information in this document from sources we believe to be reliable; however, we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations.
",https://www.domain.com.au/9-george-mobbs-drive-castle-hill-nsw-2154-2014555285
77,"16 Hilary Crescent, Dundas NSW 2117",Dundas,5.0,2.0,2.0,,,['house'],"$1,400,000",2018-10-20  11:00,2018-10-20  11:30,Best well maintained two storey brick home in sort after street,privateTreaty,,, Telopea Public School, 0.9 km, Cumberland High School, 2.1 km, Macarthur Girls High School, 3.7 km,,"Large 5 bed room family home located in one of the most sort after streets in Dundas.  Awarded the best well maintained home in the local area by ""Our Local Homes"" in 2017. This home has been immaculately maintained and offers a lovely kitchen, separate formal dining, large lounge room, versatile informal living areas, large bathrooms, oversized bedrooms and ample storage. This beautifully presented house was originally styled by an award winning interior decorator. It is sunny and bright throughout and must be seen to appreciate the size, style and quality. 
A unique property not to be missed.

Property Highlights:

•	Large undercover alfresco area with BBQ 
•	Stunning in ground swimming pool with heated spa and waterfall feature
•	Beautifully landscaped gardens that have been superbly maintained 
•	Wide driveway for additional cars
•	Walking distance to Up John Park
•	700m walking distance to St Patricks Marist College
•	400m walk to bus stop route to Parramatta & Eastwood 
•	5 minute drive to local shops
",https://www.domain.com.au/16-hilary-crescent-dundas-nsw-2117-2014572606
